audiobook_chapter_title,audiobook_chapter_uri,audiobook_title,audiobook_uri,conn_country,episode_name,episode_show_name,incognito_mode,ip_addr,master_metadata_album_album_name,master_metadata_album_artist_name,master_metadata_track_name,ms_played,offline,offline_timestamp,platform,reason_end,reason_start,shuffle,skipped,spotify_episode_uri,spotify_track_uri,ts
,,,,AR,,,False,186.189.238.81,Garbage,Garbage,Stupid Girl - 2015 - Remaster,257757,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:02bDwHxd8UuWJyeytiohaK,2021-12-26T15:56:01Z
,,,,AR,,,False,186.189.238.81,...And Out Come The Wolves,Rancid,Time Bomb,144333,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:41kg2RvdwBuIv0OPpvBS4v,2021-12-26T15:58:26Z
,,,,AR,,,False,186.189.238.81,Thank You,Stone Temple Pilots,Creep,332626,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:16x4zrgor3ewwEbPgSrTAB,2021-12-26T16:03:59Z
,,,,AR,,,False,186.189.238.81,Nevermind,Nirvana,Lithium,257053,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:5vHLwhxxlGzmClMcxRRFPr,2021-12-26T16:08:17Z
,,,,AR,,,False,186.189.238.81,Doolittle,Pixies,Monkey Gone to Heaven,175333,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:6BT7qiDY4A5tOyklohjQuW,2021-12-26T16:11:12Z
,,,,AR,,,False,186.189.238.81,The Very Best Definitive Ultimate Greatest Hits Collection,Faith No More,From Out of Nowhere - 2009 Remaster,202253,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:6hDOuRyHZdyulIQeprGvye,2021-12-26T16:14:35Z
,,,,AR,,,False,186.189.238.81,You Gotta Go There To Come Back,Stereophonics,Maybe Tomorrow,272946,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:6SXy02aTZU3ysoGUixYCz0,2021-12-26T16:19:09Z
,,,,AR,,,False,186.189.238.81,Sixteen Stone,Bush,Glycerine - Remastered,266493,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:5buITai6eMzU8rJonMEI6e,2021-12-26T16:23:36Z
,,,,AR,,,False,186.189.238.81,Smash,The Offspring,Gotta Get Away,232160,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:0vQPY1VCcvZa2Mm6QM63Le,2021-12-26T16:27:28Z
,,,,AR,,,False,186.189.238.81,Incesticide,Nirvana,Sliver,136493,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:3BtHClmMmURD8UHF2fiyxt,2021-12-26T16:29:45Z
,,,,AR,,,False,186.189.238.81,Sixteen Stone,Bush,Everything Zen - Remastered,278133,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:5l2DXYLyBVZWhdpgqa3a9k,2021-12-26T16:34:24Z
,,,,AR,,,False,186.189.238.81,Yourself or Someone Like You,Matchbox Twenty,Push,238666,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:2KVwlelhxKUy8LVV6JypH3,2021-12-26T16:38:23Z
,,,,AR,,,False,186.189.238.81,Republic,New Order,Regret - 2015 Remaster,248973,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:1UVll7jjUlqSGxCZ6uXVaD,2021-12-26T16:42:33Z
,,,,AR,,,False,186.189.238.81,Weezer,Weezer,Hash Pipe,186533,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:2mPMFJvQ0v27gVqe5b6nDn,2021-12-26T16:45:40Z
,,,,AR,,,False,186.189.238.81,The Very Best Definitive Ultimate Greatest Hits Collection,Faith No More,Evidence - 2009 Remaster,294533,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:66457ZvmMxJcTmivmr5G8Y,2021-12-26T16:50:35Z
,,,,AR,,,False,186.189.238.81,Sublime,Sublime,Santeria,182746,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:2hnMS47jN0etwvFPzYk11f,2021-12-26T16:53:38Z
,,,,AR,,,False,186.189.238.81,Away From The Sun,3 Doors Down,Here Without You,238733,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,2021-12-26T16:57:37Z
,,,,AR,,,False,186.189.239.225,House of Pain (Fine Malt Lyrics),House Of Pain,Jump Around,37708,False,nan,Windows 10 (10.0.19044; x64),logout,trackdone,True,False,,spotify:track:6JymsaWDHk2Yj4e0yNBIFH,2021-12-26T20:43:16Z
,,,,AR,,,True,186.189.239.225,Dreamland,Glass Animals,Heat Waves,238805,False,nan,Windows 10 (10.0.19044; x64),trackdone,clickrow,True,False,,spotify:track:02MWAaffLxlfxAUY7c5dvx,2021-12-26T20:47:33Z
,,,,AR,,,True,186.189.239.225,Pray for the Wicked,Panic! At The Disco,"Hey Look Ma, I Made It",120614,False,nan,Windows 10 (10.0.19044; x64),endplay,trackdone,True,False,,spotify:track:22oEJW6r2rMb9z4IntfyEa,2021-12-26T20:49:35Z
,,,,AR,,,True,186.189.239.225,Dreamland,Glass Animals,Heat Waves,238805,False,nan,Windows 10 (10.0.19044; x64),trackdone,clickrow,True,False,,spotify:track:02MWAaffLxlfxAUY7c5dvx,2021-12-26T20:53:33Z
,,,,AR,,,True,186.189.239.225,SOUR,Olivia Rodrigo,good 4 u,178146,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:4ZtFanR9U6ndgddUvNcjcG,2021-12-26T20:56:32Z
,,,,AR,,,True,186.189.239.225,21,Adele,Someone Like You,285240,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,2021-12-26T21:01:18Z
,,,,AR,,,True,186.189.239.225,#3 Deluxe Version,The Script,Hall of Fame,201093,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:0FB5ILDICqwK6xj7W1RP9u,2021-12-26T21:04:39Z
,,,,AR,,,True,186.189.239.225,1999,Charli xcx,1999,189000,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:05mAIVLkIWc2d1UBYZBCp8,2021-12-26T21:07:49Z
,,,,AR,,,True,186.189.239.225,Myths Of The Near Future,Klaxons,Golden Skans,165120,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:6BqWhxll86CGGE6WxgdRqG,2021-12-26T21:10:34Z
,,,,AR,,,True,186.189.239.225,21,Adele,Rolling in the Deep,228093,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:1c8gk2PeTE04A1pIDH9YMk,2021-12-26T21:14:23Z
,,,,AR,,,True,186.189.239.225,Torches,Foster The People,Pumped Up Kicks,239600,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,2021-12-26T21:18:23Z
,,,,AR,,,True,186.189.239.225,Imagination,Foster The People,Imagination,256266,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:2flxduIqEbsicdmPyj1WVW,2021-12-26T21:22:40Z
,,,,AR,,,True,186.189.239.225,Human,OneRepublic,Rescue Me,159650,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:37LNNQNbL1YLyutBG6aWRx,2021-12-26T21:25:20Z
,,,,AR,,,True,186.189.239.225,Don't Start Now,Dua Lipa,Don't Start Now,183290,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,2021-12-26T21:28:24Z
,,,,AR,,,True,186.189.239.225,Future Nostalgia,Dua Lipa,Love Again,258004,False,nan,Windows 10 (10.0.19044; x64),trackdone,trackdone,True,False,,spotify:track:4rPkN1FMzQyFNP9cLUGIIB,2021-12-26T21:32:42Z
,,,,AR,,,True,186.189.238.153,Dreamland,Glass Animals,Heat Waves,238805,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,clickrow,True,False,,spotify:track:02MWAaffLxlfxAUY7c5dvx,2021-12-28T19:46:05Z
,,,,AR,,,True,186.189.238.153,21,Adele,Someone Like You,285240,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,2021-12-28T19:50:51Z
,,,,AR,,,True,186.189.238.153,Dancing in My Room,347aidan,Dancing in My Room,180138,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:6Pgmqg15yVexuOgtzuxwoX,2021-12-28T19:53:51Z
,,,,AR,,,True,186.189.238.153,=,Ed Sheeran,Shivers,207853,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:50nfwKoDiSYg8zOCREWAm5,2021-12-28T19:57:20Z
,,,,AR,,,True,186.189.238.153,After Hours,The Weeknd,Blinding Lights,200040,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,2021-12-28T20:00:40Z
,,,,AR,,,True,186.189.238.153,21,Adele,Rolling in the Deep,228093,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:1c8gk2PeTE04A1pIDH9YMk,2021-12-28T20:04:29Z
,,,,AR,,,True,186.189.238.153,Imagination,Foster The People,Imagination,256266,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:2flxduIqEbsicdmPyj1WVW,2021-12-28T20:08:46Z
,,,,AR,,,True,186.189.238.153,Therefore I Am,Billie Eilish,Therefore I Am,174321,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:54bFM56PmE4YLRnqpW6Tha,2021-12-28T20:11:40Z
,,,,AR,,,True,186.189.238.153,Human,OneRepublic,Rescue Me,159650,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:37LNNQNbL1YLyutBG6aWRx,2021-12-28T20:14:20Z
,,,,AR,,,True,186.189.238.153,Happier,Marshmello,Happier,214289,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:2dpaYNEQHiRxtZbfNsse99,2021-12-28T20:17:55Z
,,,,AR,,,True,186.189.238.153,Pray for the Wicked,Panic! At The Disco,"Hey Look Ma, I Made It",169666,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:22oEJW6r2rMb9z4IntfyEa,2021-12-28T20:20:45Z
,,,,AR,,,True,186.189.238.153,American Beauty/American Psycho,Fall Out Boy,Centuries,228360,False,nan,"Android OS 11 API 30 (motorola, motorola one fusion)",trackdone,trackdone,True,False,,spotify:track:04aAxqtGp5pv12UXAg4pkq,2021-12-28T20:24:34Z
